Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,playingRole,Range
David Warner,163,124,14,9,131.5,Opening Batter,1
Mitchell Marsh,121,108,10,9,112,Allrounder,"1,2,3"
Glenn Maxwell,0,1,0,0,0,Batting Allrounder,"2,3,4"
Steve Smith,7,9,0,0,77.8,Top order Batter,"3,4,5"
Marcus Stoinis,21,24,1,1,87.5,Batting Allrounder,"4,5,6"
Josh Inglis,13,9,3,0,144.4,Wicketkeeper Batter,"5,6,7"
Marnus Labuschagne,8,12,1,0,66.7,Top order Batter,"6,7,8"
Pat Cummins,6,8,0,0,75,Bowler,"7,8,9"
Mitchell Starc,2,3,0,0,66.7,Bowler,"8,9,10"
Josh Hazlewood,0,1,0,0,0,Bowler,"9,10,11"
Adam Zampa,1,1,0,0,100,Bowler,"10,11"
Abdullah Shafique,64,61,7,2,104.9,Top order Batter,1
Imam-ul-Haq,70,71,10,0,98.6,Top order Batter,"1,2,3"
Babar Azam,18,14,3,0,128.6,Top order Batter,"2,3,4"
Mohammad Rizwan,46,40,5,0,115,Wicketkeeper Batter,"3,4,5"
Saud Shakeel,30,31,5,0,96.8,Middle order Batter,"4,5,6"
Iftikhar Ahmed,26,20,0,3,130,Middle order Batter,"5,6,7"
Mohammad Nawaz,14,16,0,1,87.5,Allrounder,"6,7,8"
Usama Mir,0,3,0,0,0,Bowler,"7,8,9"
Shaheen Afridi,10,8,2,0,125,Bowler,"8,9,10"
Hasan Ali,8,8,2,0,100,Bowler,"9,10,11"
Haris Rauf,0,1,0,0,0,Bowler,"10,11"
Vikramjit Singh,4,13,1,0,30.8,Opening Batter,1
Max O'Dowd,16,27,1,1,59.3,Opening Batter,"1,2,3"
Colin Ackermann,29,31,5,0,93.5,Batting Allrounder,"2,3,4"
Bas de Leede,6,21,0,0,28.6,Batting Allrounder,"3,4,5"
Logan van Beek,59,75,1,1,78.7,Bowler,"7,8,9"
Roelof van der Merwe,7,7,0,0,100,Allrounder,"8,9,10"
Paul van Meekeren,4,5,0,0,80,Bowler,"10,11"
Pathum Nissanka,54,52,9,0,103.8,Top order Batter,1
Kusal Janith Perera,5,8,1,0,62.5,Top order Batter,"1,2,3"
Kusal Mendis,11,17,2,0,64.7,Wicketkeeper Batter,"2,3,4"
Sadeera Samarawickrama,91,107,7,0,85,Top order Batter,"3,4,5"
Charith Asalanka,44,66,2,1,66.7,Batting Allrounder,"4,5,6"
Dhananjaya de Silva,30,37,1,2,81.1,Allrounder,"5,6,7"
Quinton de Kock,4,2,1,0,200,Wicketkeeper Batter,1
Reeza Hendricks,85,75,9,3,113.3,Top order Batter,"1,2,3"
Rassie van der Dussen,60,61,8,0,98.4,Top order Batter,"2,3,4"
Aiden Markram,42,44,4,0,95.5,Opening Batter,"3,4,5"
Heinrich Klaasen,109,67,12,4,162.7,Wicketkeeper Batter,"4,5,6"
David Miller,5,6,1,0,83.3,Middle order Batter,"5,6,7"
Marco Jansen,75,42,3,6,178.6,Allrounder,"6,7,8"
